FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293220,POINT (16.36376720653491 48.20391475872629),1,Burgring-Babenbergerstr.,Verkehrslichtsignalanlage,V01016-01,293220,
AKUSTISCHEAMPELOGD.293221,POINT (16.327580073190333 48.184004735983784),15,Linke Wienzeile-Fabriksg.,geregelter Fußgängerübergang,V15013-01,293221,
AKUSTISCHEAMPELOGD.293222,POINT (16.348764404042704 48.209641032491156),8,Josefstädter Str.-Ledererg._Strozzig.,Verkehrslichtsignalanlage,V08014-01,293222,
AKUSTISCHEAMPELOGD.293223,POINT (16.43029993289163 48.25125735070732),22,Donaufelder Str.-Josef Baumann G.,Verkehrslichtsignalanlage,V22036-01,293223,
AKUSTISCHEAMPELOGD.293224,POINT (16.406740227011973 48.174691833900305),11,Geiselbergstr.-Leberstr.,Verkehrslichtsignalanlage,V11012-01,293224,
AKUSTISCHEAMPELOGD.293225,POINT (16.43922647852542 48.245619976872824),22,Wagramer Str.-Steigenteschg.,Verkehrslichtsignalanlage,V22014-01,293225,
AKUSTISCHEAMPELOGD.293226,POINT (16.355714797623428 48.23268234480791),9,Liechtenwerder Pl.-,Verkehrslichtsignalanlage,V09002-01,293226,
AKUSTISCHEAMPELOGD.293227,POINT (16.471686746119072 48.25170190002367),22,Wr. Nordrandstr.-Breitenleer Str.,Verkehrslichtsignalanlage,V22059-01,293227,
AKUSTISCHEAMPELOGD.293228,POINT (16.3372401149461 48.217119576852724),17,Hernalser Hptstr.-Palffyg.,Verkehrslichtsignalanlage,V17020-01,293228,
AKUSTISCHEAMPELOGD.293230,POINT (16.410886142748012 48.179352375748856),11,Simmeringer Hptstr.-Zippererstr.,geregelter Fußgängerübergang,V11004-01,293230,
AKUSTISCHEAMPELOGD.293231,POINT (16.338507489308657 48.19712336667601),15,Neubaugürtel-Westbahnhof-Ausfahrt,Verkehrslichtsignalanlage,V15051-01,293231,
AKUSTISCHEAMPELOGD.293232,POINT (16.368290196260705 48.244283495539165),20,Brigittenauer Lände-Lorenz Müller-G.,Verkehrslichtsignalanlage,V20016-01,293232,
AKUSTISCHEAMPELOGD.293233,POINT (16.343872457504833 48.24057355468298),19,Krottenbachstr.-Cottageg.,Verkehrslichtsignalanlage,V19019-01,293233,
AKUSTISCHEAMPELOGD.293235,POINT (16.46410591679738 48.21957239190801),22,Langobardenstr.-Zschokkeg.,Verkehrslichtsignalanlage,V22054-01,293235,
AKUSTISCHEAMPELOGD.293237,POINT (16.395196632007643 48.26163238946408),21,Prager Str.-Nordbr. Abfahrt,Verkehrslichtsignalanlage,V21005-01,293237,
AKUSTISCHEAMPELOGD.293238,POINT (16.457907015590116 48.22807850544233),22,Erzherzog Karl-Str.-Konstanziag.,Verkehrslichtsignalanlage,V22006-01,293238,
AKUSTISCHEAMPELOGD.293239,POINT (16.31532928110065 48.20942796439434),16,Koppstr.-Sulmg.,geregelter Fußgängerübergang,V16039-01,293239,
AKUSTISCHEAMPELOGD.293240,POINT (16.41301509499828 48.284151328214044),21,Brünner Str.-Hanreiterg.,Verkehrslichtsignalanlage,V21055-01,293240,
AKUSTISCHEAMPELOGD.293241,POINT (16.388362302590377 48.21914863598068),2,Heinestr.-Kleine Stadtgutg.,Verkehrslichtsignalanlage,V02018-01,293241,
AKUSTISCHEAMPELOGD.293242,POINT (16.31382775521673 48.175061327359465),13,Grünbergstr.-Weißenthurng.,Verkehrslichtsignalanlage,V12045-01,293242,
AKUSTISCHEAMPELOGD.293243,POINT (16.354865146654667 48.19062347025395),5,Schönbrunner Str.-Ramperstorfferg.,Verkehrslichtsignalanlage,V05018-01,293243,
AKUSTISCHEAMPELOGD.293244,POINT (16.367636051208116 48.23869010616389),20,Adalbert Stifter Str.-Burghardtg.,geregelter Fußgängerübergang,V20025-01,293244,
AKUSTISCHEAMPELOGD.293245,POINT (16.376651762957703 48.17804528161317),10,Favoritenstr.-Gudrunstr.,geregelter Fußgängerübergang,V10072-01,293245,
AKUSTISCHEAMPELOGD.293246,POINT (16.331169075645445 48.21172130067951),16,Neulerchenf. Str.-Haberlg.,Verkehrslichtsignalanlage,V16002-01,293246,
AKUSTISCHEAMPELOGD.293206,POINT (16.26886393219609 48.15054582907546),23,Endresstr.-Speis.Str._Maurer Hptpl.,Verkehrslichtsignalanlage,V23022-01,293206,
AKUSTISCHEAMPELOGD.293248,POINT (16.495275616964122 48.27769250681897),22,Süßenbrunner Pl.-,Verkehrslichtsignalanlage,V22067-01,293248,
AKUSTISCHEAMPELOGD.293249,POINT (16.33007026728413 48.173321352439054),12,Breitenfurter Str.-Schedifkapl._Philadelphiabr.,Verkehrslichtsignalanlage,V12026-01,293249,
AKUSTISCHEAMPELOGD.293250,POINT (16.40870801113279 48.1864936017335),3,Litfaßstr.-Maria Jakobi G.,Verkehrslichtsignalanlage,V03095-01,293250,
AKUSTISCHEAMPELOGD.293251,POINT (16.39464616730803 48.21239674626319),2,Schüttelstr.-Laufbergerg.,Verkehrslichtsignalanlage,V02050-01,293251,
AKUSTISCHEAMPELOGD.293252,POINT (16.287103632866444 48.19687042141708),14,Hütteldorfer Str.-Zehetnerg.,Verkehrslichtsignalanlage,V14014-01,293252,
AKUSTISCHEAMPELOGD.293253,POINT (16.375637748501287 48.199205764485214),3,Am Heumarkt-Schwarzenbergpl.,Verkehrslichtsignalanlage,V03015-01,293253,
AKUSTISCHEAMPELOGD.293254,POINT (16.383491723878183 48.23886993135848),20,Allerheiligenpl.-Hellwagstr.,geregelter Fußgängerübergang,V20029-01,293254,
AKUSTISCHEAMPELOGD.293255,POINT (16.36707710864709 48.195846445781754),4,Wiedner Hauptstr.-Paulanerg.,Verkehrslichtsignalanlage,V04023-01,293255,
AKUSTISCHEAMPELOGD.293256,POINT (16.348463386478397 48.192126207319134),6,Gumpendorfer Str.-Webg._Grabnerg.,Verkehrslichtsignalanlage,V06016-01,293256,
AKUSTISCHEAMPELOGD.293257,POINT (16.384704189862795 48.18384389510849),3,Arsenalstr.-Ghegastr.,Verkehrslichtsignalanlage,V03039-01,293257,
